"plec","waga","wiek","wojewodztwo","podregion66","godzin_internetu","rok"
"mężczyzna",1.237584365568,"25-34 lata","Dolnośląskie","JELENIOGÓRSKI",4,"2003"
"kobieta",1.042649088,"45-59 lat","Dolnośląskie","JELENIOGÓRSKI",1,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","JELENIOGÓRSKI",2,"2003"
"kobieta",1.082175744,"45-59 lat","Dolnośląskie","JELENIOGÓRSKI",2,"2003"
"mężczyzna",0.942231690336,"60-64 lata","Dolnośląskie","JELENIOGÓRSKI",2,"2003"
"mężczyzna",1.02526613336,"do 24 lat","Dolnośląskie","JELENIOGÓRSKI",2,"2003"
"mężczyzna",1.02526613336,"do 24 lat","Dolnośląskie","JELENIOGÓRSKI",1,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","JELENIOGÓRSKI",5,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",3,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",0,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",2,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",5,"2003"
"mężczyzna",0.98781811072,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",8,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",2,"2003"
"mężczyzna",1.110943582528,"45-59 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",1,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",1,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",2,"2003"
"mężczyzna",1.110943582528,"45-59 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",8,"2003"
"kobieta",0.93649824,"35-44 lata","Dolnośląskie","LEGNICKO-GŁOGOWSKI",2,"2003"
"mężczyzna",0.92627842176,"35-44 lata","Dolnośląskie","LEGNICKO-GŁOGOWSKI",5,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",2,"2003"
"mężczyzna",1.110943582528,"45-59 lat","Dolnośląskie","JELENIOGÓRSKI",2,"2003"
"mężczyzna",1.02526613336,"do 24 lat","Dolnośląskie","JELENIOGÓRSKI",2,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","JELENIOGÓRSKI",1,"2003"
"kobieta",0.97748352,"35-44 lata","Dolnośląskie","JELENIOGÓRSKI",1,"2003"
"mężczyzna",1.02526613336,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",1,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",0,"2003"
"mężczyzna",0.96139348488,"45-59 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",10,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","WAŁBRZYSKI",0,"2003"
"mężczyzna",1.284500985984,"35-44 lata","Dolnośląskie","WAŁBRZYSKI",15,"2003"
"kobieta",1.217447712,"35-44 lata","Dolnośląskie","WAŁBRZYSKI",0,"2003"
"mężczyzna",1.284500985984,"25-34 lata","Dolnośląskie","WAŁBRZYSKI",30,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","WAŁBRZYSKI",1,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","WAŁBRZYSKI",0,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","WAŁBRZYSKI",1,"2003"
"kobieta",0.82490616,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",5,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",0,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",3,"2003"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003"
"kobieta",0.79477632,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003"
"mężczyzna",1.044407343744,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",14,"2003"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003"
"mężczyzna",1.006260185088,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003"
"kobieta",0.79477632,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",5,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",0,"2003"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003"
"mężczyzna",0.766113617376,"65+ lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"kobieta",0.879899904,"45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",20,"2003"
"kobieta",0.847761408,"45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003"
"mężczyzna",0.83855015424,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003"
"mężczyzna",0.903290576448,"45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",3,"2003"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"kobieta",0.953731584,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",20,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",5,"2003"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",30,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",5,"2003"
"mężczyzna",0.87033945312,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003"
"kobieta",0.82490616,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",3,"2003"
"mężczyzna",0.83855015424,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003"
"mężczyzna",0.78169376808,"45-59 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",4,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",3,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",10,"2003"
"mężczyzna",0.87033945312,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",3,"2003"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",10,"2003"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",20,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003"
"mężczyzna",0.78169376808,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003"
"kobieta",0.768678582,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003"
